habitaciones;baños;parqueaderos;area_construida;area_privada;estrato;estado;antiguedad;administracion;precio_m2;Ascensor;Circuito cerrado de TV;Parqueadero Visitantes;Portería / Recepción;Zonas Verdes;Salón Comunal;Balcón;Barra estilo americano;Calentador;Chimenea;Citófono;Cocina Integral;Terraza;Vigilancia;Parques cercanos;Estudio;Patio;Depósito / Bodega;nombre;ubicacion;precio
2;2;1;61 m²;0 m²;4;Excelente;16 a 30 años;$ 217.000 COP;$ 5.573.770,49*m²;1;0;0;1;0;1;0;0;1;0;1;1;0;1;1;1;0;0;Apartamento;Gran America;340000000
5;3;2;260 m²;260 m²;4;No definida;más de 30 años;No definida;$ 3.807.692,31*m²;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;Casa;Modelia;990000000
4;5;4;200 m²;0 m²;5;Excelente;1 a 8 años;$ 1.000.000 COP;$ 4.900.000*m²;1;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;Apartamento;Cedritos;980000000
4;3;1;90 m²;0 m²;4;Bueno;más de 30 años;$ 369.000 COP;$ 4.000.000*m²;1;0;1;1;0;1;0;0;1;1;1;1;1;0;0;0;0;1;Apartamento;Cedro Golf;360000000
3;3;1;150 m²;150 m²;6;Bueno;más de 30 años;$ 872.000 COP;$ 6.533.333,33*m²;1;1;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;Apartamento;La Cabrera;980000000
3;2;1;70 m²;70 m²;4;Excelente;16 a 30 años;$ 211.000 COP;$ 4.028.571,43*m²;0;1;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;Casa;El Redil;282000000
3;2;1;74 m²;74 m²;4;No definida;16 a 30 años;$ 285.000 COP;$ 4.189.189,19*m²;0;1;1;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;Apartamento;Campanella;310000000
3;2;0;60 m²;60 m²;3;Bueno;9 a 15 años;$ 130.000 COP;$ 3.800.000*m²;1;1;0;1;0;1;1;0;1;0;1;1;0;0;0;0;0;0;Apartamento;Primavera Occidental;228000000
8;5;0;500 m²;0 m²;3;Excelente;9 a 15 años;No definida;$ 3.400.000*m²;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;Casa;Los Cerezos;1700000000
3;3;3;191 m²;191 m²;6;Excelente;más de 30 años;$ 960.000 COP;$ 7.068.062,83*m²;1;0;0;1;0;0;1;0;1;0;1;1;0;1;0;0;0;0;Apartamento;El Refugio;1350000000
